id,file,status,source,detail,unknown,opcode_empty
00032,AgriculturePrivateCommodityHedge__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AgriculturePrivateCommodityHedge__rename_0000.json (deployed_bytecode),,0
00033,AgriculturePrivateCommodityHedge__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AgriculturePrivateCommodityHedge__expression_0000.json (deployed_bytecode),,0
00034,AgriculturePrivateCommodityHedge__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AgriculturePrivateCommodityHedge__fhe_swap_0000.json (deployed_bytecode),,0
00035,AgriculturePrivateCommodityHedge__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AgriculturePrivateCommodityHedge__dead_code_0000.json (deployed_bytecode),,0
00036,AMLKYCRegistry__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AMLKYCRegistry__rename_0000.json (deployed_bytecode),,0
00037,AMLKYCRegistry__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AMLKYCRegistry__fhe_swap_0000.json (deployed_bytecode),,0
00038,AMLKYCRegistry__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AMLKYCRegistry__dead_code_0000.json (deployed_bytecode),,0
00039,AnonymousDAOVoting__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AnonymousDAOVoting__rename_0000.json (deployed_bytecode),,0
00040,AnonymousDAOVoting__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AnonymousDAOVoting__dead_code_0000.json (deployed_bytecode),,0
00041,ArtworkBlindAuction__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\ArtworkBlindAuction__rename_0000.json (deployed_bytecode),,0
00042,ArtworkBlindAuction__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\ArtworkBlindAuction__expression_0000.json (deployed_bytecode),,0
00043,ArtworkBlindAuction__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\ArtworkBlindAuction__dead_code_0000.json (deployed_bytecode),,0
00044,ArtworkProvenance__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\ArtworkProvenance__rename_0000.json (deployed_bytecode),,0
00045,ArtworkProvenance__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\ArtworkProvenance__expression_0000.json (deployed_bytecode),,0
00046,ArtworkProvenance__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\ArtworkProvenance__dead_code_0000.json (deployed_bytecode),,0
00047,AuctionCarbonCredit__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionCarbonCredit__rename_0000.json (deployed_bytecode),,0
00048,AuctionCarbonCredit__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionCarbonCredit__expression_0000.json (deployed_bytecode),,0
00049,AuctionCarbonCredit__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionCarbonCredit__fhe_swap_0000.json (deployed_bytecode),,0
00050,AuctionCarbonCredit__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionCarbonCredit__dead_code_0000.json (deployed_bytecode),,0
00051,AuctionElectricityCapacity__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionElectricityCapacity__rename_0000.json (deployed_bytecode),,0
00052,AuctionElectricityCapacity__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionElectricityCapacity__expression_0000.json (deployed_bytecode),,0
00053,AuctionElectricityCapacity__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionElectricityCapacity__fhe_swap_0000.json (deployed_bytecode),,0
00054,AuctionElectricityCapacity__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionElectricityCapacity__dead_code_0000.json (deployed_bytecode),,0
00055,AuctionLandLease__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionLandLease__rename_0000.json (deployed_bytecode),,0
00056,AuctionLandLease__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionLandLease__expression_0000.json (deployed_bytecode),,0
00057,AuctionLandLease__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionLandLease__fhe_swap_0000.json (deployed_bytecode),,0
00058,AuctionLandLease__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionLandLease__dead_code_0000.json (deployed_bytecode),,0
00059,AuctionLogisticsRoute__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionLogisticsRoute__rename_0000.json (deployed_bytecode),,0
00060,AuctionLogisticsRoute__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionLogisticsRoute__expression_0000.json (deployed_bytecode),,0
00061,AuctionLogisticsRoute__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionLogisticsRoute__fhe_swap_0000.json (deployed_bytecode),,0
00062,AuctionLogisticsRoute__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionLogisticsRoute__dead_code_0000.json (deployed_bytecode),,0
00063,AuctionMediaBroadcastRights__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionMediaBroadcastRights__rename_0000.json (deployed_bytecode),,0
00064,AuctionMediaBroadcastRights__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionMediaBroadcastRights__expression_0000.json (deployed_bytecode),,0
00065,AuctionMediaBroadcastRights__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionMediaBroadcastRights__fhe_swap_0000.json (deployed_bytecode),,0
00066,AuctionMediaBroadcastRights__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionMediaBroadcastRights__dead_code_0000.json (deployed_bytecode),,0
00067,AuctionMunicipalBond__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionMunicipalBond__rename_0000.json (deployed_bytecode),,0
00068,AuctionMunicipalBond__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionMunicipalBond__expression_0000.json (deployed_bytecode),,0
